"GENEID","gene_1","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000266680","ENSG00000266680",1.55263748879082,0.87949391223784,"ENSG00000266680",0.525262054421912,0.999962111488567,"ENSG00000266680",0.726464136466728,FALSE
"ENSG00000257122","RRN3P3",2.86953636875167,0.880407827588418,"RRN3P3",-0.362488138114145,0.999962111488567,"RRN3P3",2.28538644576593,FALSE
"ENSG00000128573","FOXP2",-1.00826367265097,0.881108191116549,"FOXP2",0.55348111321977,0.999962111488567,"FOXP2",1.10432032857193,FALSE
"ENSG00000196821","ILRUN",-0.487883911817763,0.881108191116549,"ILRUN",0.221937214865026,0.999962111488567,"ILRUN",0.501919332106875,FALSE
"ENSG00000153531","ADPRHL1",0.725860125261703,0.881139724209199,"ADPRHL1",-0.688970079789986,0.999962111488567,"ADPRHL1",1.0004360322196,FALSE
"ENSG00000183496","MEX3B",0.451491390616693,0.881581242123797,"MEX3B",-0.176082358774827,0.999962111488567,"MEX3B",0.443761653889411,FALSE
"ENSG00000165379","LRFN5",-0.838974672497206,0.882004609064783,"LRFN5",0.784995991848209,0.999962111488567,"LRFN5",1.14832066920667,FALSE
"ENSG00000004779","NDUFAB1",0.420518829558374,0.882382849636297,"NDUFAB1",-0.40312543142478,0.996379225595293,"NDUFAB1",0.582404442226571,FALSE
"ENSG00000153902","LGI4",0.773832432032428,0.882382849636297,"LGI4",0.809285800719733,0.999962111488567,"LGI4",0.0250693174147003,FALSE
"ENSG00000165055","METTL2B",-0.335946524613178,0.882382849636297,"METTL2B",0.117994792702253,0.999962111488567,"METTL2B",0.320984983734496,FALSE
"ENSG00000164220","F2RL2",-0.764706427484226,0.882647069502099,"F2RL2",0.548966920639771,0.999962111488567,"F2RL2",0.928907332722514,FALSE
"ENSG00000111058","ACSS3",0.88401039435806,0.882686220752613,"ACSS3",0.655508950258859,0.999962111488567,"ACSS3",0.161574920633463,FALSE
"ENSG00000124374","PAIP2B",-0.621126519421813,0.882686220752613,"PAIP2B",-0.299283290155551,0.999962111488567,"PAIP2B",0.22757752989315,FALSE
"ENSG00000001626","CFTR",1.02688026473358,0.882937211758777,"CFTR",-0.467042343793933,0.999962111488567,"CFTR",1.0563628070577,FALSE
"ENSG00000134594","RAB33A",-0.715353577950721,0.882937211758777,"RAB33A",-0.0674690476695421,0.999962111488567,"RAB33A",0.458123544787682,FALSE
"ENSG00000226530","ENSG00000226530",-1.43898390776029,0.882937211758777,"ENSG00000226530",0.829827276560214,0.999962111488567,"ENSG00000226530",1.60429177366491,FALSE
