"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000230310",NA,NA,NA,"LINC02926",4.00440786110063,NA,"LINC02926",NA,NA
"ENSG00000230312",NA,NA,NA,"SLC25A53P1",3.16545578533873,NA,"SLC25A53P1",NA,NA
"ENSG00000230325",NA,NA,NA,"ENSG00000230325",4.15647403830904,NA,"ENSG00000230325",NA,NA
"ENSG00000230510",NA,NA,NA,"PPP5D1P",3.41913321789228,NA,"PPP5D1P",NA,NA
"ENSG00000230568",NA,NA,NA,"SF3A3P1",-0.117855514106972,NA,"SF3A3P1",NA,NA
"ENSG00000230612",NA,NA,NA,"ENSG00000230612",3.41913321789228,NA,"ENSG00000230612",NA,NA
"ENSG00000230729",NA,NA,NA,"ENHO-AS1",4.40922151160976,NA,"ENHO-AS1",NA,NA
"ENSG00000230870",NA,NA,NA,"FBXW11P1",3.38878481472465,NA,"FBXW11P1",NA,NA
"ENSG00000230929",NA,NA,NA,"ENSG00000230929",3.44499225513721,NA,"ENSG00000230929",NA,NA
"ENSG00000230955",NA,NA,NA,"INPP5B-AS1",0.507151933483499,NA,"INPP5B-AS1",NA,NA
"ENSG00000230992",NA,NA,NA,"FAM201B",3.41727220068607,NA,"FAM201B",NA,NA
"ENSG00000231049",NA,NA,NA,"OR52B5P",3.06871263070523,NA,"OR52B5P",NA,NA
"ENSG00000231072",NA,NA,NA,"GAPDHP64",2.83371395269547,NA,"GAPDHP64",NA,NA
"ENSG00000231341",NA,NA,NA,"VDAC1P6",-0.176072045218932,NA,"VDAC1P6",NA,NA
"ENSG00000231345",NA,NA,NA,"BEND3P1",2.85898170249561,NA,"BEND3P1",NA,NA
"ENSG00000231366",NA,NA,NA,"RPS26P40",2.85898170249561,NA,"RPS26P40",NA,NA
"ENSG00000231519",NA,NA,NA,"ENSG00000231519",4.25146608760091,NA,"ENSG00000231519",NA,NA
"ENSG00000231528",NA,NA,NA,"FAM225A",3.7452859299658,NA,"FAM225A",NA,NA
"ENSG00000231539",NA,NA,NA,"ENSG00000231539",4.12496488466363,NA,"ENSG00000231539",NA,NA
"ENSG00000231550",NA,NA,NA,"PTCHD3P2",-0.523841334834229,NA,"PTCHD3P2",NA,NA
"ENSG00000231666",NA,NA,NA,"LINC01704",2.74774337108431,NA,"LINC01704",NA,NA
"ENSG00000231680",NA,NA,NA,"LINC02723",2.86250056773968,NA,"LINC02723",NA,NA
"ENSG00000231703",NA,NA,NA,"ENSG00000231703",1.04254086339642,NA,"ENSG00000231703",NA,NA
"ENSG00000231747",NA,NA,NA,"ENSG00000231747",0.429396549347759,NA,"ENSG00000231747",NA,NA
"ENSG00000231762",NA,NA,NA,"ENSG00000231762",1.87359847709198,NA,"ENSG00000231762",NA,NA
"ENSG00000231943",NA,NA,NA,"PGM5P4-AS1",3.33108862201397,NA,"PGM5P4-AS1",NA,NA
"ENSG00000231992",NA,NA,NA,"ENSG00000231992",3.41913321789228,NA,"ENSG00000231992",NA,NA
"ENSG00000232077",NA,NA,NA,"LINC01031",4.18282486539112,NA,"LINC01031",NA,NA
"ENSG00000232139",NA,NA,NA,"LINC00867",3.66769077222597,NA,"LINC00867",NA,NA
"ENSG00000232173",NA,NA,NA,"OR2H5P",2.80383884656897,NA,"OR2H5P",NA,NA
"ENSG00000232456",NA,NA,NA,"FAM131C2P",1.08839815748637,NA,"FAM131C2P",NA,NA
"ENSG00000232615",NA,NA,NA,"PPP4R2P5",2.12085996748494,NA,"PPP4R2P5",NA,NA
"ENSG00000232709",NA,NA,NA,"MARK2P9",3.61843978082219,NA,"MARK2P9",NA,NA
"ENSG00000232710",NA,NA,NA,"ENSG00000232710",4.27991806077642,NA,"ENSG00000232710",NA,NA
"ENSG00000232719",NA,NA,NA,"ENSG00000232719",1.1273779992351,NA,"ENSG00000232719",NA,NA
"ENSG00000232724",NA,NA,NA,"TRIM80P",4.30831403573321,NA,"TRIM80P",NA,NA
"ENSG00000232853",NA,NA,NA,"LUZP4P1",3.06871263070523,NA,"LUZP4P1",NA,NA
"ENSG00000232916",NA,NA,NA,"HMGN2P27",2.74774337108431,NA,"HMGN2P27",NA,NA
"ENSG00000232937",NA,NA,NA,"ENSG00000232937",1.513908412232,NA,"ENSG00000232937",NA,NA
"ENSG00000232938",NA,NA,NA,"RPL23AP87",4.06669725054856,NA,"RPL23AP87",NA,NA
"ENSG00000232952",NA,NA,NA,"ENSG00000232952",3.35016553803647,NA,"ENSG00000232952",NA,NA
"ENSG00000233009",NA,NA,NA,"NALCN-AS1",2.74774337108431,NA,"NALCN-AS1",NA,NA
"ENSG00000233061",NA,NA,NA,"TTLL7-IT1",3.41913321789229,NA,"TTLL7-IT1",NA,NA
"ENSG00000233205",NA,NA,NA,"WBP1P2",0.12343068053114,NA,"WBP1P2",NA,NA
"ENSG00000233220",NA,NA,NA,"PRDM10-DT",1.38623274861319,NA,"PRDM10-DT",NA,NA
"ENSG00000233293",NA,NA,NA,"NOL4L-AS1",3.41913321789229,NA,"NOL4L-AS1",NA,NA
"ENSG00000233388",NA,NA,NA,"TRMT112P8",2.85898170249561,NA,"TRMT112P8",NA,NA
"ENSG00000233431",NA,NA,NA,"LINC02596",2.83371395269547,NA,"LINC02596",NA,NA
"ENSG00000233473",NA,NA,NA,"RAD1P2",2.79078050436416,NA,"RAD1P2",NA,NA
"ENSG00000233483",NA,NA,NA,"EFCAB15P",3.91492482271838,NA,"EFCAB15P",NA,NA
"ENSG00000233522",NA,NA,NA,"FAM224A",4.00440786110063,NA,"FAM224A",NA,NA
"ENSG00000233627",NA,NA,NA,"C4A-AS1",1.51008759567655,NA,"C4A-AS1",NA,NA
"ENSG00000233739",NA,NA,NA,"ENSG00000233739",2.83371395269547,NA,"ENSG00000233739",NA,NA
"ENSG00000233780",NA,NA,NA,"HNRNPA1P30",-1.86475015192513,NA,"HNRNPA1P30",NA,NA
"ENSG00000233837",NA,NA,NA,"EIF3LP2",1.82804352572079,NA,"EIF3LP2",NA,NA
"ENSG00000233896",NA,NA,NA,"PDYN-AS1",0.87339992839514,NA,"PDYN-AS1",NA,NA
"ENSG00000233916",NA,NA,NA,"ZDHHC20P1",3.9701265665772,NA,"ZDHHC20P1",NA,NA
"ENSG00000234006",NA,NA,NA,"DDX39B-AS1",3.91492482271838,NA,"DDX39B-AS1",NA,NA
"ENSG00000234065",NA,NA,NA,"MTND4P26",3.60279307440288,NA,"MTND4P26",NA,NA
"ENSG00000234076",NA,NA,NA,"TPRG1-AS1",0.61871409175367,NA,"TPRG1-AS1",NA,NA
"ENSG00000234181",NA,NA,NA,"PIGO-AS1",0.144475079780483,NA,"PIGO-AS1",NA,NA
"ENSG00000234210",NA,NA,NA,"ENSG00000234210",3.42142134511061,NA,"ENSG00000234210",NA,NA
"ENSG00000234213",NA,NA,NA,"FHP1",-1.39604001129617,NA,"FHP1",NA,NA
"ENSG00000234423",NA,NA,NA,"LINC01250",4.15647403830904,NA,"LINC01250",NA,NA
"ENSG00000234469",NA,NA,NA,"CLDN34",3.89701522257059,NA,"CLDN34",NA,NA
"ENSG00000234492",NA,NA,NA,"RPL34-DT",-0.34295780755819,NA,"RPL34-DT",NA,NA
"ENSG00000234611",NA,NA,NA,"OR2AT2P",2.85898170249561,NA,"OR2AT2P",NA,NA
"ENSG00000234721",NA,NA,NA,"LINC02092",3.64165840155907,NA,"LINC02092",NA,NA
"ENSG00000234779",NA,NA,NA,"BNC2-AS1",2.61697701036289,NA,"BNC2-AS1",NA,NA
"ENSG00000234793",NA,NA,NA,"ENSG00000234793",4.65118329129311,NA,"ENSG00000234793",NA,NA
"ENSG00000234806",NA,NA,NA,"RPL26P29",2.60819931442964,NA,"RPL26P29",NA,NA
"ENSG00000234814",NA,NA,NA,"SVIL2P",2.14706996472895,NA,"SVIL2P",NA,NA
"ENSG00000235012",NA,NA,NA,"JCADP1",3.115177368789,NA,"JCADP1",NA,NA
"ENSG00000235024",NA,NA,NA,"CDK5R2-AS1",3.86056828660268,NA,"CDK5R2-AS1",NA,NA
"ENSG00000235051",NA,NA,NA,"ENSG00000235051",2.85898170249561,NA,"ENSG00000235051",NA,NA
"ENSG00000235267",NA,NA,NA,"ENSG00000235267",3.15591376723761,NA,"ENSG00000235267",NA,NA
"ENSG00000235313",NA,NA,NA,"HM13-IT1",2.83371395269547,NA,"HM13-IT1",NA,NA
"ENSG00000235330",NA,NA,NA,"RPL12P25",3.15591376723761,NA,"RPL12P25",NA,NA
"ENSG00000235440",NA,NA,NA,"RPS2P15",3.64165840155907,NA,"RPS2P15",NA,NA
"ENSG00000235512",NA,NA,NA,"TAB3-AS2",1.35256862673794,NA,"TAB3-AS2",NA,NA
"ENSG00000235597",NA,NA,NA,"LINC01102",2.60607286520268,NA,"LINC01102",NA,NA
"ENSG00000235681",NA,NA,NA,"ENSG00000235681",3.18153278268215,NA,"ENSG00000235681",NA,NA
"ENSG00000235735",NA,NA,NA,"RPL7AP72",2.85898170249561,NA,"RPL7AP72",NA,NA
"ENSG00000235806",NA,NA,NA,"ENSG00000235806",0.967179061850351,NA,"ENSG00000235806",NA,NA
"ENSG00000235875",NA,NA,NA,"ARHGEF7-AS2",2.74774337108431,NA,"ARHGEF7-AS2",NA,NA
"ENSG00000235902",NA,NA,NA,"ENSG00000235902",3.18153278268215,NA,"ENSG00000235902",NA,NA
"ENSG00000235974",NA,NA,NA,"VN2R19P",3.83750892687668,NA,"VN2R19P",NA,NA
