"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000266236","NARF-IT1",-1.85654399592896,0.737798606584411,"NARF-IT1",-0.240961087260288,0.995154265654586,"NARF-IT1",1.1423896302887,FALSE
"ENSG00000281398","SNHG4",-1.15430720828431,0.737798606584411,"SNHG4",-0.331508102610322,0.990192564861971,"SNHG4",0.581806827176303,FALSE
"ENSG00000285907","ENSG00000285907",-2.42168931402486,0.737798606584411,"ENSG00000285907",-1.28247293466005,0.906381622976886,"ENSG00000285907",0.805547627087644,FALSE
"ENSG00000205181","LINC00654",-1.71867392135221,0.740780349756327,"LINC00654",-2.02350140774468,0.182142922415413,"LINC00654",0.215545582720164,FALSE
"ENSG00000118181","RPS25",0.657103252040488,0.740905694080625,"RPS25",1.05415551508676,0.0471091179090611,"RPS25",0.280758347685482,TRUE
"ENSG00000076351","SLC46A1",-0.739748788249835,0.741494910801063,"SLC46A1",-0.608660062362755,0.523773575810764,"SLC46A1",0.0926937270118589,FALSE
"ENSG00000235865","GSN-AS1",2.37997886223663,0.741494910801063,"GSN-AS1",1.21818118144262,0.952152482860301,"GSN-AS1",0.821515018456252,FALSE
"ENSG00000083444","PLOD1",0.833870234966745,0.743404535711966,"PLOD1",0.369762248734151,0.930528749901724,"PLOD1",0.3281739042679,FALSE
"ENSG00000106689","LHX2",-1.74714439118987,0.743404535711966,"LHX2",-0.654359019112139,0.968565505612839,"LHX2",0.772715946977625,FALSE
"ENSG00000245571","FAM111A-DT",2.02947650906653,0.743404535711966,"FAM111A-DT",0.923987936412224,0.951109843305398,"FAM111A-DT",0.781698466248095,FALSE
"ENSG00000069122","ADGRF5",2.08980367838117,0.74428225111723,"ADGRF5",0.327327207039639,0.995296927215984,"ADGRF5",1.24625906456733,FALSE
"ENSG00000213694","S1PR3",1.45982973868978,0.74428225111723,"S1PR3",0.490101565852545,0.981464012482182,"S1PR3",0.685701366920851,FALSE
"ENSG00000268516","ZNF8-DT",0.79042697682357,0.74428225111723,"ZNF8-DT",0.35144323442374,0.949579572684035,"ZNF8-DT",0.310408381081568,FALSE
"ENSG00000130203","APOE",1.42006549365296,0.744780749312,"APOE",0.582668103962193,0.957283489278383,"APOE",0.592129372798253,FALSE
"ENSG00000151491","EPS8",1.27765375178369,0.745742486689395,"EPS8",0.320765059023734,0.986260043356027,"EPS8",0.676622483491295,FALSE
"ENSG00000176728","TTTY14",7.75821914572923,0.748243707971891,"TTTY14",8.17630296591822,0.514600229659186,"TTTY14",0.295629904360015,FALSE
"ENSG00000132256","TRIM5",1.28976565667093,0.749493606900515,"TRIM5",0.646191004155817,0.908227082526112,"TRIM5",0.45507600099321,FALSE
"ENSG00000143919","CAMKMT",-0.735023113428872,0.749493606900515,"CAMKMT",-0.540834780903171,0.853425512591625,"CAMKMT",0.137311886756231,FALSE
"ENSG00000213347","MXD3",0.945022443444886,0.750523179329716,"MXD3",1.27119761121373,0.0585788594183554,"MXD3",0.23064067298401,FALSE
"ENSG00000168004","PLAAT5",-1.65037312480065,0.753005834183029,"PLAAT5",-0.506372682516209,0.986260043356027,"PLAAT5",0.80893047041974,FALSE
"ENSG00000107562","CXCL12",2.0120601962075,0.753640716531683,"CXCL12",0.86864269799647,0.945803360264353,"CXCL12",0.808518266712378,FALSE
"ENSG00000159251","ACTC1",2.25641640283153,0.757154607039292,"ACTC1",4.14144297819293,0.234418951975703,"ACTC1",1.3329150741549,FALSE
"ENSG00000224383","PRR29",1.33618906570718,0.757154607039292,"PRR29",-0.24664567299472,0.987197901669494,"PRR29",1.11923317723375,FALSE
"ENSG00000247982","LINC00926",1.20748008745263,0.757154607039292,"LINC00926",0.289676470632917,0.988510842891389,"LINC00926",0.64898516125076,FALSE
"ENSG00000147596","PRDM14",-2.37131347155265,0.759409445887213,"PRDM14",-2.10475590092769,0.690798092624835,"PRDM14",0.188484665765518,FALSE
"ENSG00000185624","P4HB",0.741903845912497,0.759409445887213,"P4HB",0.305493431531172,0.957283489278383,"P4HB",0.308588763389466,FALSE
"ENSG00000271894","ENSG00000271894",1.27039810114393,0.759409445887213,"ENSG00000271894",-1.17469709698365,0.949088638438663,"ENSG00000271894",1.72894339524267,FALSE
"ENSG00000240801","ENSG00000240801",2.3963399944905,0.759488203479635,"ENSG00000240801",2.01819189263653,0.631719513893255,"ENSG00000240801",0.267391087113767,FALSE
"ENSG00000258830","ENSG00000258830",7.71623995699017,0.759488203479635,"ENSG00000258830",6.56758458439225,0.232187970409073,"ENSG00000258830",0.812222003210347,FALSE
