"GENEID","GENENAME","log2FoldChange.iPSC","padj.iPSC","baseMean.iPSC","log2FoldChange.iNeurons","padj.iNeurons","baseMean.iNeurons","overlap_category","mean_abs_lfc","direction_concordant"
"ENSG00000158486","DNAH3",0.935582320398407,0.999991169262577,16.9188119812675,-3.81391558194971,0.00846595821874868,13.900236467907,"Only_iNeurons",2.37474895117406,NA
"ENSG00000122641","INHBA",1.49689776389398,0.397003460523697,97.6759513941381,3.17943566112515,0.00276521278190539,75.6248340338353,"Only_iNeurons",2.33816671250957,NA
"ENSG00000145936","KCNMB1",-0.697590131573099,0.999991169262577,66.0942050667527,3.90868668903083,3.71043805247033e-05,62.1151688782832,"Only_iNeurons",2.30313841030196,NA
"ENSG00000085741","WNT11",-1.5500725502104,0.999991169262577,9.55344923416183,3.03683561252548,0.0471091179090611,20.5104427246953,"Only_iNeurons",2.29345408136794,NA
"ENSG00000163017","ACTG2",-0.722502920619881,0.807283302909846,374.315668529738,3.78299413341098,0.0143565973826556,416.397566148322,"Only_iNeurons",2.25274852701543,NA
"ENSG00000163191","S100A11",0.450159504086446,0.412336274599467,1844.946580764,3.97519939229631,1.44645983665871e-20,671.035394314555,"Only_iNeurons",2.21267944819138,NA
"ENSG00000164125","GASK1B",-2.27335375212039,0.999991169262577,9.1153382737716,2.11102652766603,0.0490994113264446,392.876999732046,"Only_iNeurons",2.19219013989321,NA
"ENSG00000205592","MUC19",-0.655678299905037,0.999991169262577,28.7330400556762,3.72595502511073,0.0296602450878023,83.1975795468682,"Only_iNeurons",2.19081666250789,NA
"ENSG00000288597","",0.558047548754512,0.999991169262577,323.414367784947,-3.74963435835265,0.0213512158999621,32.677531468539,"Only_iNeurons",2.15384095355358,NA
"ENSG00000267374","MIR924HG",1.53079158511521,0.470468359383452,119.926334162118,2.76917554080787,0.0498196228310351,24.93311807989,"Only_iNeurons",2.14998356296154,NA
"ENSG00000189108","IL1RAPL2",-0.0759910097486867,0.999991169262577,11.4183321375816,-4.10384540901562,0.0120938739782044,18.0646768939432,"Only_iNeurons",2.08991820938216,NA
"ENSG00000049247","UTS2",0.514647979262146,0.999991169262577,25.4448671579972,-3.64771893212872,0.000175696545667692,105.421680235808,"Only_iNeurons",2.08118345569543,NA
"ENSG00000163359","COL6A3",0.8871478618695,0.559927710428779,151.847356486183,3.1630025477659,1.22224230014196e-05,248.04329414748,"Only_iNeurons",2.0250752048177,NA
"ENSG00000170955","CAVIN3",-0.527013221693881,0.792787341604997,612.529378710558,3.45135542979856,0.0120952981462417,112.113772929887,"Only_iNeurons",1.98918432574622,NA
"ENSG00000123572","NRK",0.801604922882885,0.85990123813611,282.065450030599,3.095250114462,0.0143285065544378,189.431486065859,"Only_iNeurons",1.94842751867244,NA
"ENSG00000120149","MSX2",0.909523427079364,0.999991169262577,15.887208007945,2.9469663780421,2.09740498566442e-05,103.955403363462,"Only_iNeurons",1.92824490256073,NA
"ENSG00000120907","ADRA1A",-1.25465287480562,0.999991169262577,10.5555633826539,-2.58121744595983,0.0490994113264446,27.8091422608112,"Only_iNeurons",1.91793516038273,NA
"ENSG00000149090","PAMR1",0.13470615830964,0.999991169262577,138.474921692287,3.66797469229191,0.0223719876257844,287.127476977917,"Only_iNeurons",1.90134042530078,NA
"ENSG00000169908","TM4SF1",0.187900950238783,0.999991169262577,14.2455389161225,3.60709893172674,0.0220531242060353,68.9719340933732,"Only_iNeurons",1.89749994098276,NA
"ENSG00000251493","FOXD1",0.847187723638681,0.999991169262577,18.9569266439063,2.94531865154282,0.00349573484048864,293.434006879322,"Only_iNeurons",1.89625318759075,NA
"ENSG00000253485","PCDHGA5",0.135650424044578,0.999991169262577,7.69601310145935,-3.5856428945811,0.0266466359198691,81.6890764445105,"Only_iNeurons",1.86064665931284,NA
"ENSG00000164692","COL1A2",0.211131613984854,0.999991169262577,3147.4284907263,3.49044359400604,0.000601406998855404,5147.27635114731,"Only_iNeurons",1.85078760399545,NA
"ENSG00000274565","",1.25068873751098,0.991690017728378,17.5056612532104,2.43897580593132,0.00250332861032877,39.5236935357906,"Only_iNeurons",1.84483227172115,NA
