"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000265907",NA,NA,NA,"LPIN2-AS1",-3.83509062618566,0.999919252887675,"LPIN2-AS1",NA,NA
"ENSG00000265908",NA,NA,NA,"ENSG00000265908",-4.28568522384121,0.999919252887675,"ENSG00000265908",NA,NA
"ENSG00000265944",NA,NA,NA,"LINC01387",1.46805292994048,0.999919252887675,"LINC01387",NA,NA
"ENSG00000266145",NA,NA,NA,"RHOT1P1",-3.50276803408509,0.999919252887675,"RHOT1P1",NA,NA
"ENSG00000266304",NA,NA,NA,"LIVAR",-3.58669218331342,0.999919252887675,"LIVAR",NA,NA
"ENSG00000266312",NA,NA,NA,"LINC01927",-3.50276803408509,0.999919252887675,"LINC01927",NA,NA
"ENSG00000266357",NA,NA,NA,"LINC02074",-3.58669218331342,0.999919252887675,"LINC02074",NA,NA
"ENSG00000266369",NA,NA,NA,"ENSG00000266369",-5.10672056028054,0.999919252887675,"ENSG00000266369",NA,NA
"ENSG00000266495",NA,NA,NA,"ENSG00000266495",-3.50276803408509,0.999919252887675,"ENSG00000266495",NA,NA
"ENSG00000266728",NA,NA,NA,"ENSG00000266728",-3.6124031007455,0.999919252887675,"ENSG00000266728",NA,NA
"ENSG00000266805",NA,NA,NA,"ENSG00000266805",-3.24036598983007,0.999919252887675,"ENSG00000266805",NA,NA
"ENSG00000266955",NA,NA,NA,"ENSG00000266955",-3.32348649541076,0.999919252887675,"ENSG00000266955",NA,NA
"ENSG00000266992",NA,NA,NA,"DHX40P1",-4.91387244877197,0.999919252887675,"DHX40P1",NA,NA
"ENSG00000267006",NA,NA,NA,"ENSG00000267006",0.609849871642663,0.999919252887675,"ENSG00000267006",NA,NA
"ENSG00000267016",NA,NA,NA,"ENSG00000267016",-4.61647270553815,0.999919252887675,"ENSG00000267016",NA,NA
"ENSG00000267063",NA,NA,NA,"ENSG00000267063",-4.18666414144263,0.999919252887675,"ENSG00000267063",NA,NA
"ENSG00000267077",NA,NA,NA,"ENSG00000267077",-3.6124031007455,0.999919252887675,"ENSG00000267077",NA,NA
"ENSG00000267078",NA,NA,NA,"ENSG00000267078",-3.6124031007455,0.999919252887675,"ENSG00000267078",NA,NA
"ENSG00000267114",NA,NA,NA,"ENSG00000267114",-3.00130643722141,0.999919252887675,"ENSG00000267114",NA,NA
"ENSG00000267139",NA,NA,NA,"ENSG00000267139",-4.78176609249775,0.999919252887675,"ENSG00000267139",NA,NA
"ENSG00000267179",NA,NA,NA,"ENSG00000267179",-5.11609755798459,0.999919252887675,"ENSG00000267179",NA,NA
"ENSG00000267235",NA,NA,NA,"ZNF861P",-3.58669218331341,0.999919252887675,"ZNF861P",NA,NA
"ENSG00000267257",NA,NA,NA,"ENSG00000267257",-3.32348649541076,0.999919252887675,"ENSG00000267257",NA,NA
"ENSG00000267282",NA,NA,NA,"LNCOB1",-3.58669218331341,0.999919252887675,"LNCOB1",NA,NA
"ENSG00000267312",NA,NA,NA,"ENSG00000267312",-3.82028963071294,0.999919252887675,"ENSG00000267312",NA,NA
"ENSG00000267339",NA,NA,NA,"LINC00906",-3.80920723449074,0.999919252887675,"LINC00906",NA,NA
"ENSG00000267340",NA,NA,NA,"ENSG00000267340",-3.34895858358283,0.999919252887675,"ENSG00000267340",NA,NA
"ENSG00000267441",NA,NA,NA,"ENSG00000267441",-3.33905990284805,0.999919252887675,"ENSG00000267441",NA,NA
"ENSG00000267477",NA,NA,NA,"ENSG00000267477",-3.34895858358283,0.999919252887675,"ENSG00000267477",NA,NA
"ENSG00000267505",NA,NA,NA,"ENSG00000267505",-4.28121379569503,0.999919252887675,"ENSG00000267505",NA,NA
"ENSG00000267577",NA,NA,NA,"DNAAF3-AS1",-3.50276803408509,0.999919252887675,"DNAAF3-AS1",NA,NA
"ENSG00000267583",NA,NA,NA,"ZNF24TR",-3.32348649541076,0.999919252887675,"ZNF24TR",NA,NA
"ENSG00000267598",NA,NA,NA,"IER2-AS1",-3.72470248300573,0.999919252887675,"IER2-AS1",NA,NA
"ENSG00000267634",NA,NA,NA,"RPL7L1P5",-3.02642902840595,0.999919252887675,"RPL7L1P5",NA,NA
"ENSG00000267748",NA,NA,NA,"ENSG00000267748",-1.92817341012573,0.999919252887675,"ENSG00000267748",NA,NA
"ENSG00000268201",NA,NA,NA,"ENSG00000268201",-2.03441513780769,0.999919252887675,"ENSG00000268201",NA,NA
"ENSG00000268235",NA,NA,NA,"TCP11X1",-3.32348649541076,0.999919252887675,"TCP11X1",NA,NA
"ENSG00000268316",NA,NA,NA,"ENSG00000268316",-2.91935845783927,0.999919252887675,"ENSG00000268316",NA,NA
"ENSG00000268322",NA,NA,NA,"BNIP3P25",-4.23842904985203,0.999919252887675,"BNIP3P25",NA,NA
"ENSG00000268535",NA,NA,NA,"MTDHP4",-3.24036598983007,0.999919252887675,"MTDHP4",NA,NA
"ENSG00000268650",NA,NA,NA,"ENSG00000268650",-2.77456362760314,0.999919252887675,"ENSG00000268650",NA,NA
"ENSG00000268654",NA,NA,NA,"MIMT1",-4.61345038302557,0.999919252887675,"MIMT1",NA,NA
"ENSG00000268673",NA,NA,NA,"ENSG00000268673",-3.02642902840595,0.999919252887675,"ENSG00000268673",NA,NA
"ENSG00000268756",NA,NA,NA,"ENSG00000268756",-3.72470248300573,0.999919252887675,"ENSG00000268756",NA,NA
"ENSG00000268864",NA,NA,NA,"ENSG00000268864",-3.9169980523045,0.999919252887675,"ENSG00000268864",NA,NA
"ENSG00000268866",NA,NA,NA,"ENSG00000268866",-3.48796222614101,0.999919252887675,"ENSG00000268866",NA,NA
"ENSG00000269038",NA,NA,NA,"SF1-DT",-2.8714547610082,0.999919252887675,"SF1-DT",NA,NA
"ENSG00000269296",NA,NA,NA,"ENSG00000269296",-3.55843085100799,0.999919252887675,"ENSG00000269296",NA,NA
"ENSG00000269303",NA,NA,NA,"GRAMD1A-AS1",-2.91935845783927,0.999919252887675,"GRAMD1A-AS1",NA,NA
"ENSG00000269307",NA,NA,NA,"ENSG00000269307",-5.46169375831833,0.999919252887675,"ENSG00000269307",NA,NA
"ENSG00000269482",NA,NA,NA,"ENSG00000269482",-2.62898116753923,0.999919252887675,"ENSG00000269482",NA,NA
"ENSG00000269694",NA,NA,NA,"ENSG00000269694",-3.50276803408509,0.999919252887675,"ENSG00000269694",NA,NA
"ENSG00000269699",NA,NA,NA,"ZIM2",-1.52852580787288,0.999919252887675,"ZIM2",NA,NA
"ENSG00000269752",NA,NA,NA,"ENSG00000269752",-3.24036598983007,0.999919252887675,"ENSG00000269752",NA,NA
"ENSG00000269889",NA,NA,NA,"ENSG00000269889",-3.59057284759186,0.999919252887675,"ENSG00000269889",NA,NA
"ENSG00000269892",NA,NA,NA,"ENSG00000269892",-3.10810421553789,0.999919252887675,"ENSG00000269892",NA,NA
"ENSG00000269925",NA,NA,NA,"ENSG00000269925",-1.27218999387585,0.999919252887675,"ENSG00000269925",NA,NA
"ENSG00000269956",NA,NA,NA,"MKNK1-AS1",-2.01809771744261,0.999919252887675,"MKNK1-AS1",NA,NA
"ENSG00000269978",NA,NA,NA,"ENSG00000269978",-3.32348649541076,0.999919252887675,"ENSG00000269978",NA,NA
